ano;codigo;uf;vinculos_executivo_federal;vinculos_executivo_estadual;vinculos_executivo_municipal;vinculos_legislativo_federal;vinculos_legislativo_estadual;vinculos_legislativo_municipal;vinculos_judiciario_federal;vinculos_judiciario_estadual
1985;11;RO;3960;34384;4156;0;49;94;100;1024
1985;53;DF;182279;67049;0;13782;465;0;6236;0
1985;52;GO;14723;78222;46738;36;409;531;136;1899
1985;51;MT;8023;23196;11569;16;889;80;77;803
1985;50;MS;9478;34428;20005;7;1643;161;105;1755
1985;43;RS;38734;176987;140436;27;0;876;1589;0
1985;42;SC;17446;65079;54915;20;1545;236;666;1957
1985;41;PR;18254;103364;119030;21;1129;715;670;3343
1985;35;SP;65637;534474;355117;28;1026;3743;3188;17961
1985;33;RJ;210478;215123;155080;78;2982;4884;3911;7035
1985;32;ES;9978;42030;36607;23;106;61;84;751
1985;31;MG;53310;202375;158988;47;1335;609;1875;648
1985;29;BA;35588;141109;86606;26;1568;464;1076;4024
1985;28;SE;5477;29801;17018;16;293;254;66;837
1985;27;AL;7152;42200;26575;15;815;241;65;816
1985;26;PE;36125;94120;70425;26;785;375;1290;1347
1985;25;PB;18211;48935;56270;22;19;97;138;0
1985;24;RN;17869;46546;25390;17;0;228;97;0
1985;23;CE;23624;125989;83791;27;788;349;710;1579
1985;22;PI;9260;39192;14992;19;375;111;148;737
1985;21;MA;11405;50497;19666;28;914;251;92;914
1985;16;AP;550;8013;2436;0;0;85;0;0
1985;15;PA;26771;57878;22672;24;1108;377;659;825
1985;14;RR;8873;0;1282;0;0;33;0;16
1985;13;AM;13162;32002;9228;25;765;55;606;637
1985;12;AC;2869;16154;2068;0;319;79;33;262
1986;28;SE;5756;13733;19390;16;382;341;73;864
1986;53;DF;200696;70408;0;11772;463;0;6605;0
1986;52;GO;15542;89349;49329;36;823;502;156;1964
1986;51;MT;8329;23663;8776;16;1152;87;80;2064
1986;50;MS;10236;35017;23180;10;1994;187;114;2276
1986;43;RS;40417;176812;150194;28;0;1037;1832;0
1986;42;SC;18559;68462;62132;18;1739;244;833;2063
1986;41;PR;21624;111103;134754;24;1206;745;811;3370
1986;35;SP;68900;564252;377176;29;1167;3787;2942;2316
1986;33;RJ;213699;216998;158265;81;3173;5269;3694;5967
1986;32;ES;10239;42245;42106;20;106;60;96;971
1986;31;MG;55307;221413;177199;43;1437;732;2210;650
1986;29;BA;37404;153802;96033;27;1160;539;1149;4193
1986;27;AL;7492;43786;30819;16;919;255;68;946
1986;26;PE;37666;109964;75465;25;871;459;1169;1552
1986;25;PB;19037;69729;64742;22;0;188;595;0
1986;24;RN;12106;47445;31669;22;0;271;99;0
1986;23;CE;24753;89984;99262;33;818;377;734;1606
1986;22;PI;9735;52491;23103;21;552;133;156;802
1986;21;MA;12376;49611;29781;28;1001;298;105;910
1986;16;AP;521;6706;3683;0;0;83;0;0
1986;15;PA;27168;61723;28412;20;1470;593;695;1012
1986;14;RR;8776;0;1589;0;0;26;0;17
1986;13;AM;13946;47193;10142;21;849;658;596;655
1986;12;AC;3051;20611;2593;0;520;120;33;328
1986;11;RO;2651;2127;2100;0;0;7;0;0
1987;29;BA;36232;135758;105832;28;1130;575;1539;4553
1987;53;DF;195556;73727;0;13428;494;0;6683;0
1987;52;GO;15946;91632;52941;36;1507;534;169;2127
1987;51;MT;8244;22999;15277;14;1080;101;86;2362
1987;50;MS;10866;29159;24171;12;2187;375;123;2126
1987;43;RS;39644;180041;160347;33;0;1111;2210;0
1987;42;SC;17489;68125;68816;22;1822;283;927;2152
1987;41;PR;20964;115659;146458;33;1154;892;956;3760
1987;35;SP;69900;610786;420318;40;1237;4365;4020;36711
1987;33;RJ;218465;220707;185778;82;3534;5812;4338;6553
1987;32;ES;10451;43587;44687;22;102;63;105;1001
1987;31;MG;54744;223311;199973;39;1717;838;2492;684
1987;28;SE;5691;24625;21516;17;424;345;96;903
1987;27;AL;5351;55701;33919;21;1782;377;74;896
1987;26;PE;37460;107083;79935;30;831;465;1354;1557
1987;25;PB;18090;79250;69326;27;0;244;907;0
1987;24;RN;18854;59521;32268;30;0;404;118;0
1987;23;CE;24991;96091;106866;41;936;404;824;1761
1987;22;PI;10141;53734;25277;24;804;162;164;876
1987;21;MA;12496;54280;32830;30;544;324;71;957
1987;16;AP;639;8754;1802;0;0;74;0;0
1987;15;PA;27956;63746;30882;23;1358;714;746;1018
1987;14;RR;7773;0;1730;0;0;44;0;0
1987;13;AM;14242;43393;10726;27;522;969;600;729
1987;12;AC;3235;21243;2959;0;812;121;9;423
1987;11;RO;4129;34544;8437;0;127;475;472;188
1988;13;AM;14543;49699;10514;18;1282;1343;662;774
1988;53;DF;194262;73100;0;14174;458;0;7091;0
1988;52;GO;15167;111332;60053;36;1658;515;193;2257
1988;51;MT;8660;20256;16050;14;1315;96;79;2597
1988;50;MS;9379;32756;24235;11;2079;508;112;2247
1988;43;RS;38380;176247;159941;34;0;1164;2044;0
1988;42;SC;17288;51009;70320;26;1637;406;1038;2431
1988;41;PR;18135;116681;150158;27;1170;966;1089;4000
1988;35;SP;67004;640534;448605;41;4604;4489;4322;33200
1988;33;RJ;210802;233117;204889;84;3991;5830;5940;6876
1988;32;ES;9749;38894;47544;29;102;85;104;1135
1988;31;MG;54107;232990;210395;45;1705;1157;2457;694
1988;12;AC;2693;20736;4162;0;969;126;33;620
1988;29;BA;34729;127873;102602;27;1207;673;1576;5015
1988;11;RO;3556;42618;10978;0;157;503;644;1631
1988;28;SE;5264;40620;24401;15;487;333;96;986
1988;27;AL;7108;58696;33068;20;1912;407;86;1138
1988;26;PE;35785;99571;86391;30;825;615;1279;1652
1988;25;PB;17446;65156;75354;27;0;335;979;0
1988;24;RN;18758;61048;33965;33;0;555;116;0
1988;23;CE;23874;91889;115831;35;984;476;850;1931
1988;22;PI;9927;54789;27021;25;1044;173;164;1437
1988;21;MA;11916;53925;36615;31;1247;503;139;970
1988;16;AP;586;13388;1981;0;0;205;0;0
1988;15;PA;26302;65367;33496;19;1639;800;745;1142
1988;14;RR;7009;0;1290;0;0;57;0;0
1989;11;RO;4242;44024;11668;0;139;561;610;1693
1989;53;DF;206100;77670;0;14806;509;0;6646;0
1989;52;GO;15713;88136;51038;35;1684;512;196;2119
1989;51;MT;8363;18875;12449;14;0;110;64;2502
1989;50;MS;9510;38363;24294;14;2078;567;154;2625
1989;43;RS;38170;176768;168017;34;0;1217;2701;0
1989;42;SC;16398;51378;75007;28;1648;275;1147;2549
1989;41;PR;18389;121615;161276;34;1145;1029;1069;4064
1989;35;SP;67803;646850;467028;39;5015;5233;5162;32893
1989;33;RJ;215047;228745;190606;92;4041;5680;4587;6971
1989;32;ES;10162;43621;45351;27;253;156;130;1216
1989;31;MG;52014;229633;221098;47;696;1406;2726;1128
1989;29;BA;34334;148782;114536;30;1596;702;1766;5444
1989;28;SE;5309;42874;23058;19;522;333;95;1222
1989;27;AL;7119;53379;37000;23;1439;473;132;1135
1989;26;PE;29109;99539;84881;30;865;710;1907;1978
1989;25;PB;17329;66941;81032;28;0;350;968;0
1989;24;RN;18431;7096;40534;31;0;610;170;0
1989;23;CE;23521;81208;120435;34;889;476;909;1755
1989;22;PI;9076;57780;28874;25;1253;221;158;1616
1989;21;MA;12515;64977;31331;29;1205;640;326;1014
1989;17;TO;1;8629;5671;0;0;23;0;106
1989;16;AP;653;14374;3013;0;0;197;0;0
1989;15;PA;23956;60423;35727;25;1859;970;865;1212
1989;14;RR;10051;354;1274;0;0;57;0;13
1989;13;AM;14098;52227;11469;24;1252;550;703;811
1989;12;AC;1981;20680;4535;0;1042;147;34;486
1990;11;RO;4030;39422;11005;0;141;548;607;1238
1990;53;DF;227507;64059;0;14202;499;0;8515;0
1990;52;GO;16730;75746;51737;34;1552;455;217;0
1990;51;MT;10138;40827;15856;17;1131;112;135;2407
1990;50;MS;10011;30477;23471;12;1943;499;162;2506
1990;43;RS;34503;190375;159887;33;0;1330;2100;0
1990;42;SC;17370;51671;74744;23;1627;553;1198;2568
1990;41;PR;19519;124870;151492;27;0;846;1298;4192
1990;35;SP;68557;600569;468929;46;4828;4452;5730;36965
1990;33;RJ;218040;222168;197491;81;3014;5940;4810;8981
1990;32;ES;10877;44260;47058;20;357;206;156;1252
1990;31;MG;56126;225651;217513;91;790;1442;3115;5807
1990;29;BA;35706;137181;109631;31;2263;802;1772;6274
1990;28;SE;6669;42883;21799;18;498;327;38;1280
1990;27;AL;8235;51094;34852;18;1479;506;122;1092
1990;26;PE;30989;99584;80153;26;1370;899;2505;2006
1990;25;PB;18338;63646;74338;61;0;382;1180;0
1990;24;RN;18662;66791;39875;34;0;648;166;0
1990;23;CE;22702;90679;112803;37;885;587;1189;258
1990;22;PI;9428;55972;29316;21;106;95;149;1665
1990;21;MA;13041;59806;35027;52;1172;669;673;988
1990;17;TO;53;7115;5352;0;0;24;0;113
1990;16;AP;760;20518;843;0;0;200;0;0
1990;15;PA;24499;64210;33918;24;2015;861;879;1532
1990;14;RR;2113;0;267;0;0;59;0;14
1990;13;AM;14747;62790;11816;19;1467;827;891;880
1990;12;AC;3574;22473;4990;0;1117;142;38;455
1991;15;PA;27037;67206;38730;28;2238;940;897;1827
1991;53;DF;236770;86254;0;11842;1298;0;11977;0
1991;52;GO;14149;73395;55747;34;1501;498;683;2422
1991;51;MT;7131;44029;11396;21;1207;146;125;2114
1991;50;MS;9129;39579;26072;14;2764;548;171;2455
1991;43;RS;28639;182753;162378;29;0;1213;2703;0
1991;42;SC;15560;54274;71062;21;1736;589;1285;2654
1991;41;PR;18723;28518;168094;31;171;1066;1423;4551
1991;35;SP;65287;680754;500658;45;5743;5340;7473;39804
1991;33;RJ;197328;218101;201230;84;2904;6205;4951;7630
1991;32;ES;10409;44749;50335;22;392;300;548;1214
1991;31;MG;52816;210285;230247;46;2414;2300;2908;6043
1991;29;BA;33035;136364;121081;32;2467;991;2046;6634
1991;28;SE;5772;15643;21030;18;515;384;96;1485
1991;27;AL;7936;53403;35636;20;4703;140;131;1345
1991;26;PE;37064;110353;91454;26;1149;1150;1767;2167
1991;25;PB;18084;72624;77013;26;0;589;1298;0
1991;24;RN;16990;68923;42298;33;0;340;250;0
1991;23;CE;23219;84911;114495;41;2194;719;1107;1613
1991;22;PI;8430;58558;30267;23;1743;292;52;1696
1991;21;MA;12101;60058;38397;25;1130;942;1124;931
1991;17;TO;126;8014;4991;0;193;32;0;0
1991;16;AP;706;17937;987;0;456;350;0;64
1991;14;RR;12509;0;232;0;0;72;0;19
1991;13;AM;13318;66258;12888;19;1479;559;942;899
1991;12;AC;1823;21726;5850;0;1206;165;32;529
1991;11;RO;3879;49159;10405;0;1170;90;717;732
1992;12;AC;1538;23255;2374;0;601;154;34;445
1992;53;DF;215690;86816;0;9808;1497;0;11276;0
1992;52;GO;16739;70865;57483;31;847;920;860;2279
1992;51;MT;7210;43562;10369;18;1246;113;253;2077
1992;50;MS;9294;40840;23826;16;2582;490;171;2758
1992;43;RS;36952;182638;168005;30;0;1369;2981;0
1992;42;SC;15040;59555;80348;21;1591;540;1355;2937
1992;41;PR;19000;128703;173199;30;151;991;1474;4513
1992;35;SP;64230;722995;532496;46;4680;5932;6678;41482
1992;33;RJ;214973;166007;188399;80;3763;5080;4824;8933
1992;32;ES;6764;44323;48109;24;478;232;494;1380
1992;31;MG;52067;212239;228166;43;2482;2318;3001;5503
1992;29;BA;32447;88516;110536;31;2001;989;2227;6439
1992;28;SE;5483;38597;20421;15;487;356;152;1599
1992;27;AL;5239;55062;43469;19;4412;567;351;1275
1992;26;PE;36574;111369;84974;25;1099;1164;1376;2698
1992;25;PB;17105;61342;76114;26;0;406;1295;0
1992;24;RN;16620;68310;43246;31;0;689;576;0
1992;23;CE;21850;83566;107135;38;2094;713;970;1502
1992;22;PI;7973;55580;28740;26;1786;311;176;1736
1992;21;MA;12450;53704;36050;25;1098;1069;730;1431
1992;16;AP;758;17229;1068;0;214;325;0;467
1992;11;RO;16130;26707;11074;0;1211;72;853;1795
1992;15;PA;27188;81485;29812;25;2104;877;946;2010
1992;14;RR;11077;0;942;0;0;50;0;18
1992;13;AM;9111;63714;12557;19;1516;934;1062;897
1993;25;PB;16578;59463;75546;27;0;491;1674;0
1993;53;DF;221968;91339;0;11752;1926;0;13907;0
1993;52;GO;12893;77207;64752;31;833;1310;637;2744
1993;51;MT;7119;37047;15112;18;1347;244;675;2218
1993;50;MS;9198;41253;27920;15;2648;716;734;2760
1993;43;RS;35231;183170;185636;30;0;1627;2564;6961
1993;42;SC;16088;70685;91187;22;1635;650;1517;2965
1993;41;PR;18500;146896;179135;30;1219;1220;1581;4613
1993;35;SP;60611;741532;579558;43;4670;6881;6218;43546
1993;33;RJ;197320;198475;212722;74;2660;5321;4370;9455
1993;32;ES;10270;42159;59462;27;533;577;584;1306
1993;31;MG;53159;192797;273316;41;2681;3261;4155;4734
1993;29;BA;31369;133860;133849;30;2345;1151;2722;6729
1993;28;SE;5310;40756;19789;13;681;347;544;1693
1993;27;AL;7800;55154;47968;21;4945;353;732;1338
1993;26;PE;30255;116331;100248;22;1050;1525;2691;3206
1993;24;RN;15828;70180;49146;32;0;710;1004;0
1993;23;CE;21256;85062;113789;38;2112;844;1298;1438
1993;22;PI;7847;58432;30922;22;1912;302;534;1738
1993;21;MA;12001;53299;40795;23;1098;1213;554;1392
1993;17;TO;1348;31286;8066;0;524;29;86;799
1993;16;AP;787;17067;1796;0;110;383;142;587
1993;15;PA;25569;94638;43613;24;2274;1028;1053;2496
1993;14;RR;12493;15;69;0;37;53;0;18
1993;13;AM;11633;72373;20139;18;1439;989;1081;941
1993;12;AC;2615;24064;6054;0;608;194;34;590
1993;11;RO;15177;28644;13441;0;1267;303;1048;1807
1994;11;RO;15320;30950;15137;0;1109;418;1234;1783
1994;53;DF;236502;95717;0;12397;1847;0;16165;0
1994;52;GO;13794;71906;65008;30;1390;615;279;2573
1994;51;MT;7281;42191;24078;25;1211;301;719;2469
1994;50;MS;9245;40648;26457;19;2639;603;772;2692
1994;43;RS;34561;178033;187743;30;0;1623;4206;6898
1994;42;SC;16792;58885;103974;29;1644;720;1525;3048
1994;41;PR;17980;151888;190765;31;0;1475;2257;4660
1994;35;SP;56969;795109;584815;43;3434;7058;9850;41032
1994;33;RJ;190028;210425;215692;81;2878;5193;5259;10195
1994;32;ES;10294;42520;57444;29;491;525;804;1729
1994;31;MG;52473;225646;275492;41;2575;3626;4280;9709
1994;29;BA;30669;174653;133780;37;1226;1052;2327;7493
1994;28;SE;5518;40372;25975;21;643;354;649;1621
1994;27;AL;7754;50651;49966;23;3817;619;777;1423
1994;26;PE;29658;109495;107128;26;872;1646;2507;3116
1994;25;PB;16377;49010;78862;25;0;666;1745;2
1994;24;RN;15781;69848;53407;31;0;878;1299;0
1994;23;CE;20963;81851;117238;40;2037;826;1203;1243
1994;22;PI;7804;62558;31080;22;1926;338;714;1782
1994;21;MA;12015;56264;45442;27;885;1311;846;1650
1994;17;TO;1439;2180;7399;0;989;37;110;962
1994;16;AP;908;13645;1697;0;96;350;153;723
1994;15;PA;25855;122288;43286;24;2014;1033;1122;2803
1994;14;RR;12524;141;919;0;89;107;93;0
1994;13;AM;11562;61551;20688;26;1383;902;173;1027
1994;12;AC;1596;40304;6690;0;646;226;55;664
1995;15;PA;22940;105428;48859;26;2488;1209;1172;2818
1995;53;DF;230746;95349;0;14086;2237;0;15245;0
1995;52;GO;11509;82854;76470;31;775;603;1029;3749
1995;51;MT;9352;38795;26404;22;1633;649;798;2816
1995;50;MS;10869;41792;29570;20;2784;689;817;2651
1995;43;RS;29879;141873;197435;33;0;1974;4400;6945
1995;42;SC;12075;73914;99594;29;1668;821;1952;3200
1995;41;PR;20177;148201;195117;33;0;1675;2570;4757
1995;35;SP;42913;760950;566487;50;4898;7994;9164;27163
1995;33;RJ;143845;208992;230604;79;2809;5540;6103;11699
1995;32;ES;9524;42438;62065;28;161;1030;278;1786
1995;31;MG;51500;229730;302502;45;5494;5150;4562;9913
1995;29;BA;19612;171067;142681;36;1466;1228;2891;7900
1995;28;SE;4636;40905;27861;19;903;343;690;1820
1995;27;AL;6838;46021;48698;25;3551;617;829;1145
1995;26;PE;23268;105305;115550;24;1031;1962;2523;3265
1995;25;PB;22852;58157;79620;27;0;674;1624;0
1995;24;RN;15454;71100;54059;33;0;977;1233;0
1995;23;CE;16927;82655;119431;42;1949;918;635;1486
1995;22;PI;6692;62719;31531;24;1824;354;651;1833
1995;21;MA;9075;54739;47483;32;883;1773;850;2025
1995;17;TO;1558;22622;8900;15;758;296;192;1006
1995;16;AP;2413;14142;777;10;85;377;154;802
1995;14;RR;11997;188;48;12;128;267;142;51
1995;13;AM;15430;56632;21517;25;1510;865;1263;1019
1995;12;AC;2272;23094;6831;9;656;236;129;745
1995;11;RO;14260;31294;17035;12;1032;346;1046;1810
1996;12;AC;1684;27260;6471;17;657;266;175;915
1996;53;DF;223813;86860;0;13285;2022;0;18477;38
1996;52;GO;8237;74855;75960;31;602;638;1048;3796
1996;51;MT;5244;32609;27910;21;1378;682;1021;2811
1996;50;MS;7600;41119;33424;20;2282;707;823;2536
1996;43;RS;22786;169781;200464;37;0;1956;5163;7105
1996;42;SC;9162;73330;98610;33;1636;753;2026;3541
1996;41;PR;10535;146914;197594;31;1461;1671;2541;4696
1996;35;SP;39224;729692;590450;42;4295;9386;11192;25381
1996;33;RJ;145579;219993;231536;81;2430;5533;6577;11729
1996;32;ES;6620;42403;64776;29;626;716;347;2065
1996;31;MG;34011;231500;310734;46;4569;5101;5643;9643
1996;29;BA;17964;173700;148603;43;1444;1334;706;7891
1996;28;SE;3408;40852;27394;25;904;349;1241;1797
1996;27;AL;4957;45406;48601;19;2488;667;971;1095
1996;26;PE;18415;104205;113101;35;1067;2984;2276;3404
1996;25;PB;8464;62160;77869;24;0;740;1760;0
1996;24;RN;10196;69439;53112;28;0;967;1389;0
1996;23;CE;12984;82610;116028;38;1926;993;380;1703
1996;22;PI;5123;64024;30392;24;1845;329;670;1810
1996;21;MA;8933;52342;48954;30;879;1837;929;1950
1996;17;TO;1473;26288;12355;20;999;268;202;893
1996;16;AP;1114;13760;3388;14;164;386;173;1063
1996;11;RO;11086;28125;18269;18;983;313;844;1955
1996;15;PA;19045;102420;48432;27;2302;1126;1749;2878
1996;14;RR;8621;582;0;19;118;226;172;131
1996;13;AM;9037;40553;23176;27;1349;571;1310;1055
1997;11;RO;4524;36696;18148;19;1001;313;1033;2205
