ano;codigo;uf;vinculos_executivo_federal;vinculos_executivo_estadual;vinculos_executivo_municipal;vinculos_legislativo_federal;vinculos_legislativo_estadual;vinculos_legislativo_municipal;vinculos_judiciario_federal;vinculos_judiciario_estadual
2008;22;PI;7142;67568;74554;0;1786;838;1045;3067
2008;21;MA;8115;59961;161343;0;2430;1875;1439;3629
2008;17;TO;3686;55472;54755;0;2003;1486;480;2058
2008;16;AP;8874;19977;15594;0;2323;534;250;1354
2008;15;PA;22415;105043;217872;0;4318;3826;2269;5237
2008;14;RR;8945;1018;9761;0;2123;680;263;1010
2008;13;AM;13909;68909;83334;0;2954;2630;1622;2148
2008;12;AC;2164;34291;15897;0;72;402;346;1774
2008;11;RO;9823;48570;50634;0;2379;1887;1248;3183
2009;29;BA;24440;170057;466303;0;5214;10208;4497;11753
2009;53;DF;263397;132702;0;31275;2492;0;33574;391
2009;52;GO;14062;130284;181588;0;6180;6813;1721;5456
2009;51;MT;7151;94181;117307;0;2767;2688;1129;2801
2009;50;MS;10001;52132;97169;0;1509;2515;1324;4626
2009;43;RS;34295;169524;284121;0;2116;6231;7089;12075
2009;42;SC;14864;77422;215208;0;2522;4097;3220;6463
2009;41;PR;20805;179402;289733;0;505;6356;4697;6832
2009;35;SP;55023;793665;994871;0;5145;21722;16553;47190
2009;33;RJ;156886;246297;398480;0;7250;12227;9884;20189
2009;32;ES;9945;63736;144917;0;2630;5382;1711;4074
2009;31;MG;53316;366479;697722;0;5959;13555;7048;20683
2009;28;SE;5883;47146;74378;0;3008;1992;953;3650
2009;27;AL;6705;41455;96807;0;1743;2434;1264;1202
2009;26;PE;25417;142472;235839;0;3429;8260;3928;3852
2009;25;PB;13824;97342;149350;0;0;4148;2049;0
2009;24;RN;14474;66980;112720;0;1564;3443;1478;2934
2009;23;CE;19003;100846;298043;0;6544;4187;2312;5050
2009;22;PI;6917;70843;76937;0;1796;1079;1104;2933
2009;21;MA;8439;59985;169013;0;3232;2531;1439;3903
2009;17;TO;4047;57169;60129;0;2298;1445;445;2266
2009;16;AP;8937;20273;17242;0;3191;781;253;1339
2009;15;PA;17830;104009;231899;0;4580;4313;2082;5222
2009;14;RR;9044;17752;12031;0;2347;900;244;1082
2009;13;AM;9908;70376;77260;0;3167;3265;1635;1968
2009;12;AC;879;37565;16207;0;1008;428;298;1902
2009;11;RO;9934;50453;50876;0;2979;2006;1236;3489
2010;13;AM;14698;85027;94898;0;3313;3044;611;2454
2010;53;DF;262076;139892;0;29437;2053;0;34366;1704
2010;52;GO;15222;136984;191072;0;6359;5717;2038;5875
2010;51;MT;7929;64067;117994;0;2686;2515;1563;5228
2010;50;MS;11058;52553;101335;0;1599;2420;1445;4740
2010;43;RS;38176;168541;293209;0;1886;6157;7251;12619
2010;42;SC;15852;80055;218920;0;2631;3671;3304;6975
2010;41;PR;22188;190461;295487;0;452;6099;4954;7215
2010;35;SP;54899;768888;1024105;0;5107;20412;20079;47180
2010;33;RJ;363705;244237;417779;0;7146;11464;11252;20101
2010;32;ES;10378;71998;144726;0;2355;4891;1869;4155
2010;31;MG;55039;371191;705433;0;5712;12933;7925;21393
2010;12;AC;2616;37313;18695;0;1155;443;350;1912
2010;29;BA;28848;163755;466706;0;4875;9477;5273;11883
2010;28;SE;5665;52386;67193;0;3582;1762;1120;3699
2010;11;RO;10448;52423;54026;0;3036;2054;1288;3473
2010;27;AL;6456;41974;98862;0;1753;2196;1380;1177
2010;26;PE;23784;148876;241782;0;3044;7845;3297;5381
2010;25;PB;14411;96432;151325;0;0;3290;2395;0
2010;24;RN;15508;68678;116745;0;1567;3142;1687;2776
2010;23;CE;19656;104108;321290;0;6374;3879;3017;5049
2010;22;PI;7696;72597;79318;0;1808;948;1283;3258
2010;21;MA;10271;74096;181362;0;2941;2187;1626;4451
2010;17;TO;4584;54832;62900;0;2094;1499;477;744
2010;16;AP;8990;19797;18626;0;4802;1092;281;1102
2010;15;PA;23260;107945;244183;0;4439;3966;2305;5270
2010;14;RR;8812;17607;11416;0;2373;710;258;1112
2011;28;SE;6275;48176;61052;0;4010;1934;1763;3743
2011;53;DF;270684;139318;45;35282;2832;0;35805;1688
2011;52;GO;14678;136559;205934;0;7104;6646;2025;6182
2011;51;MT;8646;102260;118861;0;3033;2748;1625;4983
2011;50;MS;11995;51955;104876;0;1875;2614;1487;4815
2011;43;RS;33916;167675;309813;0;2092;6293;7424;12533
2011;42;SC;17724;89332;227819;0;2789;4399;3310;8106
2011;41;PR;22339;190606;304668;0;2822;6541;5143;8346
2011;35;SP;57288;754015;1052078;0;6082;21910;20743;46629
2011;33;RJ;167328;250686;452812;0;6508;11916;10356;21304
2011;32;ES;10461;70379;147466;0;2651;5229;1872;3951
2011;31;MG;55865;374732;726879;0;7488;13966;8169;22373
2011;29;BA;26619;164186;485609;0;6050;9933;4879;11994
2011;27;AL;7776;39645;101359;0;2809;2792;1386;1268
2011;26;PE;28331;145798;242199;0;949;8960;4410;7520
2011;25;PB;17305;94179;156446;0;0;3471;2103;0
2011;24;RN;16728;68286;119767;0;1823;3109;1654;2953
2011;23;CE;20358;102249;327756;0;8125;4383;2710;5360
2011;22;PI;8048;68779;86364;0;1789;1045;1149;3109
2011;21;MA;9129;71488;173585;0;3559;2364;1658;3733
2011;17;TO;4372;44769;63735;0;2919;1468;509;3034
2011;16;AP;8575;21303;18257;0;5188;674;283;1355
2011;15;PA;25327;108153;261611;0;5303;4137;2435;5515
2011;14;RR;8661;18679;20361;0;3238;717;260;1248
2011;13;AM;15976;79911;95251;0;4091;3483;1718;2502
2011;12;AC;2680;37942;17770;0;1514;336;320;2251
2011;11;RO;9765;57389;55008;0;3585;2467;1361;3318
2012;11;RO;8911;57662;57717;0;2648;2500;1448;3561
2012;53;DF;267554;135576;0;29474;2433;0;37361;1734
2012;52;GO;15020;125531;205043;0;5874;6822;2894;6358
2012;51;MT;8584;102694;122256;0;2883;2845;1960;9064
2012;50;MS;11747;40589;105898;0;1864;2766;1576;4908
2012;43;RS;36437;173473;323591;0;2191;6902;7453;12758
2012;42;SC;18337;91352;239835;0;2520;4205;3379;8421
2012;41;PR;23332;199055;326278;0;2050;6337;5174;10180
2012;35;SP;57763;808093;1082878;0;5881;21089;21987;46697
2012;33;RJ;150514;241647;472637;0;6459;12478;11671;21622
2012;32;ES;10718;73808;148521;0;2184;5125;1888;4188
2012;31;MG;56430;365257;739405;0;6577;14018;8782;22360
2012;29;BA;27181;153297;493436;0;5303;10830;5565;11854
2012;28;SE;6587;47298;60373;0;3199;1995;1176;3801
2012;27;AL;8031;39402;103066;0;1640;2407;1582;1252
2012;26;PE;27878;144436;240830;0;2826;8557;4902;7287
2012;25;PB;15760;90568;162318;2;0;3829;2449;0
2012;24;RN;16248;68005;122278;0;2539;3281;1981;2962
2012;23;CE;20064;99439;326432;0;6743;4737;3214;5270
2012;22;PI;7998;66328;91237;0;1826;1358;1353;3459
2012;21;MA;9221;76426;179965;0;2960;2392;1733;3996
2012;17;TO;4432;53285;63945;0;2834;1832;533;3251
2012;16;AP;8517;22600;16115;0;4700;716;334;1385
2012;15;PA;22833;85400;272827;0;4591;4636;2708;6018
2012;14;RR;8629;19085;16220;0;4145;849;278;1274
2012;13;AM;15178;88736;102318;0;3711;3242;1817;2693
2012;12;AC;2793;39213;17810;0;1089;413;344;2214
2013;15;PA;23621;110920;283800;0;4843;4848;2312;6612
2013;53;DF;332872;144073;5;29890;2350;0;37878;1840
2013;52;GO;15346;127237;218242;0;6928;6514;2779;6501
2013;51;MT;9067;99169;127072;0;2512;3002;1919;5837
2013;50;MS;11880;40380;117026;0;1951;2994;1521;5184
2013;43;RS;38087;167504;325411;0;1968;7338;7691;12899
2013;42;SC;19596;88393;247019;0;2494;4963;3559;8926
2013;41;PR;23895;209565;333252;0;2551;6163;5246;11243
2013;35;SP;59963;820306;1112434;0;6036;23928;21581;47354
2013;33;RJ;159318;247467;480891;0;6929;14874;11084;21915
2013;32;ES;11147;76959;156892;0;2205;6372;1852;4254
2013;31;MG;58535;374435;780764;0;6343;15450;9107;22550
2013;29;BA;28162;130009;503902;0;5545;10077;5016;11495
2013;28;SE;6628;45932;58665;0;2696;2066;1126;3926
2013;27;AL;7006;39212;111322;0;2772;1793;1600;1384
2013;26;PE;29347;140675;242772;0;1178;8510;4698;7700
2013;25;PB;16942;91405;170747;0;0;3121;2194;0
2013;24;RN;17413;64208;128484;0;2617;3312;1871;3251
2013;23;CE;20761;108378;374687;0;7338;4224;2921;5285
2013;22;PI;8303;64498;99620;0;1799;1239;1300;3238
2013;21;MA;9202;68073;189319;0;3019;2253;1601;4148
2013;17;TO;4715;51326;66302;0;4231;1653;492;3408
2013;16;AP;8681;20091;18026;0;3679;829;354;1872
2013;14;RR;8399;20472;16972;0;4007;899;260;1379
2013;13;AM;16020;87173;109324;0;4017;3346;1792;2689
2013;12;AC;1930;36137;19554;0;1241;345;299;2293
2013;11;RO;8669;57939;56186;0;4126;2375;1447;3911
2014;12;AC;3453;37777;20095;0;821;289;354;2470
2014;53;DF;345373;147832;0;26673;1924;0;40220;1813
2014;52;GO;15757;130529;198390;0;6190;5831;2965;6644
2014;51;MT;9407;112475;124347;0;1770;2504;1984;5573
2014;50;MS;13069;57671;113539;0;1935;2820;1594;5428
2014;43;RS;40166;170006;335770;0;1933;7394;7746;13812
2014;42;SC;20232;90209;249922;0;2390;4670;3707;9787
2014;41;PR;25124;205391;339467;0;2185;6206;5423;11833
2014;35;SP;60416;809885;1111271;0;6046;21959;22086;49131
2014;33;RJ;167975;250464;473907;0;6466;14103;11727;21008
2014;32;ES;11640;76818;147757;0;2152;5091;1908;4271
2014;31;MG;60323;360799;786293;0;5967;15333;9060;22354
2014;29;BA;28793;145527;499747;0;5207;10117;5528;11171
2014;28;SE;6952;44081;59558;0;2850;2147;1221;3937
2014;27;AL;8578;40053;113773;0;1828;1709;1648;1407
2014;26;PE;29765;135304;242693;0;1173;7531;5345;8976
2014;25;PB;17014;86114;169707;0;0;3167;2431;0
2014;24;RN;18645;61701;128079;0;1713;3619;2088;3241
2014;23;CE;21485;111300;354556;0;5560;4268;3352;5429
2014;22;PI;9082;61510;100280;0;5236;1192;1414;3277
2014;21;MA;9311;65451;198586;0;2875;2250;1698;4188
2014;17;TO;5048;57988;66971;0;2883;1626;554;3195
2014;16;AP;8617;23592;18165;0;3918;985;360;1946
2014;11;RO;10783;55662;55894;0;2698;2018;1645;4013
2014;15;PA;23832;104860;295001;0;4645;4518;2803;6366
2014;14;RR;8332;20339;16406;0;4299;658;271;1407
2014;13;AM;16361;86285;111026;0;3127;3368;1813;2915
2015;11;RO;8856;56213;54723;0;3824;2256;1503;4539
2015;53;DF;341064;143871;0;33137;2519;0;41005;1929
2015;52;GO;16272;123662;196535;0;7035;5857;2936;6873
2015;51;MT;8809;109932;127530;0;2573;2781;1902;5629
2015;50;MS;12549;69782;117577;0;2214;3238;1560;5611
2015;43;RS;39840;161966;335778;0;2046;8033;7763;13869
2015;42;SC;20326;86408;244831;0;2611;5164;3723;9882
2015;41;PR;25692;200345;343020;0;3516;6516;5482;11787
2015;35;SP;58666;753404;1109873;0;7044;22263;22145;47723
2015;33;RJ;142025;236223;480120;0;8193;14944;11177;21459
2015;32;ES;11294;72520;154295;0;2390;5391;1907;4122
2015;31;MG;60644;361755;770164;0;9970;16655;8617;21797
2015;29;BA;28603;141916;490666;0;5971;10827;5185;11214
2015;28;SE;6367;45051;51143;0;3407;2366;1145;3873
2015;27;AL;6865;42237;112803;0;1925;1921;1629;1404
2015;26;PE;29070;131515;234827;0;907;7672;4829;8914
2015;25;PB;17312;84414;170442;0;0;3434;2304;0
2015;24;RN;18212;60546;114382;0;3490;3869;1921;3671
2015;23;CE;20826;115461;357141;0;6491;5049;3093;5815
2015;22;PI;8592;59765;103041;0;5990;1255;1358;3215
2015;21;MA;9744;67750;195315;0;3641;2239;1781;2722
2015;17;TO;5241;60415;64388;0;3577;1819;543;3100
2015;16;AP;8394;21401;15318;0;4512;1181;384;1920
2015;15;PA;23131;106030;293048;0;5359;4815;2900;6835
2015;14;RR;8396;20014;18885;0;3743;939;281;1428
2015;13;AM;15813;85228;114604;0;3959;3892;1856;3414
2015;12;AC;3606;39012;20980;0;1402;387;339;2546
2016;11;RO;9894;54787;53384;0;3090;2170;1541;4648
2016;53;DF;366304;132891;0;29649;2444;0;41305;2021
2016;52;GO;16048;119436;194867;0;5165;5806;3225;6782
2016;51;MT;9171;104701;124913;0;2428;2862;2036;6224
2016;50;MS;12945;74019;113653;0;1847;3082;1611;5754
2016;43;RS;40009;153919;336838;0;2034;8103;7797;13667
2016;42;SC;20556;97246;251866;0;2294;4903;3811;9872
2016;41;PR;25044;205137;349312;0;2279;6392;5555;12492
2016;35;SP;58959;721633;1089592;0;6392;21690;22404;47890
2016;33;RJ;160397;229688;462534;0;7291;14272;12110;21061
2016;32;ES;11373;72342;151065;0;2142;5429;1926;3892
2016;31;MG;58954;368231;762473;0;5635;16452;9323;21264
2016;29;BA;27646;137929;488340;0;5098;10872;5520;10841
2016;28;SE;6206;43255;56305;0;3189;2565;1250;3781
2016;27;AL;6558;42239;110112;0;1187;1558;1708;2287
2016;26;PE;27404;127239;228348;0;898;7602;5351;8904
2016;25;PB;16479;78826;162267;0;0;3573;2534;0
2016;24;RN;18035;57749;129304;0;2630;3763;2011;3562
2016;23;CE;20697;114520;349577;0;5997;4560;3411;5703
2016;22;PI;8854;59435;104127;0;5728;1704;1454;3356
2016;21;MA;10102;71350;193001;0;3029;2112;1868;5153
2016;17;TO;5260;60172;61321;0;3687;1949;573;3340
2016;16;AP;8925;35933;14105;0;4202;1315;396;1878
2016;15;PA;24516;104710;285629;0;4854;4958;2872;7114
2016;14;RR;8278;20322;17688;0;3662;905;287;1480
2016;13;AM;15328;81803;116918;0;3777;3924;1792;3484
2016;12;AC;3730;35989;21271;0;1073;354;354;2559
2017;27;AL;7489;40235;116184;0;2254;2513;1653;2261
2017;53;DF;339207;126185;0;29819;2453;0;41975;2100
2017;52;GO;16802;122773;196171;0;5791;6322;3085;6945
2017;51;MT;9217;113881;122269;0;2774;3236;1889;6473
2017;50;MS;13366;64890;123367;0;1729;3138;1556;5754
2017;43;RS;40756;147275;335618;0;1847;8137;7725;13540
2017;42;SC;21176;97465;254173;0;2382;5235;3713;10063
2017;41;PR;26037;193120;347481;0;2405;6369;5462;12690
2017;35;SP;60085;697179;1082209;0;6551;21588;21999;47377
2017;33;RJ;181183;220509;448279;0;7921;13496;11141;22053
2017;32;ES;11302;63456;149270;0;2320;5694;1902;3795
2017;31;MG;62256;367804;779759;0;5698;16953;8941;20935
2017;29;BA;30208;148802;515060;0;6030;12315;5290;10731
2017;28;SE;7078;45520;61480;0;3164;2382;1198;3870
2017;26;PE;26924;129074;230469;0;752;8109;5162;8745
2017;25;PB;17805;78066;169524;0;0;4327;2244;0
2017;24;RN;18963;55836;130877;0;2541;3920;1971;3563
2017;23;CE;21787;109095;375518;0;7546;5147;3131;6356
2017;22;PI;8819;59044;110112;0;5759;2241;1438;3657
2017;21;MA;10284;66311;209269;0;2989;2401;1878;6482
2017;17;TO;5385;69235;66785;0;3023;2078;560;3381
2017;16;AP;9533;36634;16042;0;3542;923;399;1918
2017;15;PA;25751;105970;302906;0;4908;5839;2890;7366
2017;14;RR;8226;21255;18942;0;3604;787;300;1591
2017;13;AM;15617;83507;126399;0;4017;3893;1875;3513
2017;12;AC;3750;37345;23396;0;1077;390;335;2484
2017;11;RO;11626;55152;55728;0;3203;1953;1730;4368
2018;29;BA;30137;152356;511778;0;5892;11665;5507;10836
2018;53;DF;255431;129829;0;28709;2421;0;41071;2167
2018;52;GO;17030;121807;175823;0;5761;6414;3164;6792
2018;51;MT;8912;108969;121747;0;2323;3217;1982;7054
2018;50;MS;13689;61669;128192;0;1658;3075;1578;5705
2018;43;RS;41066;145844;330638;0;1809;8092;7606;13841
2018;42;SC;20264;99837;251249;0;2370;4777;3700;10086
2018;41;PR;25850;190538;345892;0;2376;6358;5408;13297
2018;35;SP;53879;672288;1069210;0;6340;19875;21622;46916
2018;33;RJ;194639;212983;452876;0;7876;13832;11378;21274
2018;32;ES;11208;64747;139959;0;2169;5325;1923;3925
2018;31;MG;58383;351402;778831;0;5328;16943;8995;20629
2018;28;SE;7034;43791;61257;0;3144;2279;1202;3980
2018;27;AL;8706;36654;118716;0;2184;2369;1702;2269
2018;26;PE;26903;124566;226612;0;2534;8311;5354;8651
2018;25;PB;15739;69200;162930;0;0;4560;2447;456
2018;24;RN;19792;55249;132286;0;2493;4201;1919;3711
2018;23;CE;21180;110951;360683;0;6755;5072;3331;6156
2018;22;PI;8808;57956;113267;0;5804;2900;1508;3634
2018;21;MA;10020;70566;228250;0;3076;4292;1871;7120
2018;17;TO;5358;64217;66017;0;3445;2101;688;3357
2018;16;AP;9923;36068;15315;0;3560;821;395;1879
2018;15;PA;26505;107178;300858;0;4629;5586;2909;7681
2018;14;RR;8006;21173;19430;0;4254;855;290;1634
2018;13;AM;16845;81026;136906;0;4018;3866;1734;3919
2018;12;AC;3808;37619;22855;0;1289;473;348;2441
2018;11;RO;13103;49139;54330;0;3548;1948;637;4702
2019;22;PI;8899;57545;115239;0;6129;3382;1446;3944
2019;12;AC;1930;32656;21832;0;199;555;327;2502
2019;13;AM;17171;79196;131519;0;4898;4566;1695;3883
2019;14;RR;7718;21032;24108;0;3966;882;266;1749
2019;15;PA;24207;107479;305771;0;5111;6409;2805;7433
2019;53;DF;126332;130376;0;34639;2491;0;40833;2095
2019;52;GO;16011;120439;173079;0;7638;6245;2984;7109
2019;51;MT;9265;111601;123246;0;3286;3310;1858;7378
2019;50;MS;13716;67343;134012;0;1889;3363;1481;5670
2019;43;RS;39380;140253;335563;0;2196;8315;7457;13732
2019;42;SC;20866;97364;256802;0;2674;4816;3387;10642
2019;41;PR;26169;190763;347327;0;3905;6375;5326;13439
2019;21;MA;10083;74089;234694;0;3530;5589;1825;5549
2019;35;SP;56431;668247;1063510;0;7071;20781;21275;45590
2019;16;AP;9506;37398;13434;0;3292;1728;393;2042
2019;17;TO;5348;56683;61880;0;4132;2406;586;3537
2019;33;RJ;168004;159241;459238;0;9094;13956;10623;21412
2019;32;ES;11487;60641;142391;0;2461;5668;1846;3840
2019;31;MG;55107;337171;776553;0;6215;17870;8618;20492
2019;11;RO;13164;46331;54814;0;4754;2058;1446;4760
2019;29;BA;30146;77494;480619;0;6852;12814;5155;10715
2019;28;SE;7127;41643;67291;0;3441;2323;1154;3954
2019;27;AL;8751;43106;122114;0;529;2836;1627;2682
2019;26;PE;21896;124774;230735;0;3378;9305;4898;8856
2019;25;PB;17304;65026;165604;0;0;4591;2215;448
2019;24;RN;19715;54283;134019;0;2964;4402;1851;3738
2019;23;CE;21874;110422;370053;0;7727;5284;3090;6458
